episode,timestep,seed,policy_mode,obs_month,obs_day_type,obs_hour,obs_outdoor_dry_bulb_temperature,obs_outdoor_dry_bulb_temperature_predicted_1,obs_outdoor_dry_bulb_temperature_predicted_2,obs_outdoor_dry_bulb_temperature_predicted_3,obs_outdoor_relative_humidity,obs_outdoor_relative_humidity_predicted_1,obs_outdoor_relative_humidity_predicted_2,obs_outdoor_relative_humidity_predicted_3,obs_diffuse_solar_irradiance,obs_diffuse_solar_irradiance_predicted_1,obs_diffuse_solar_irradiance_predicted_2,obs_diffuse_solar_irradiance_predicted_3,obs_direct_solar_irradiance,obs_direct_solar_irradiance_predicted_1,obs_direct_solar_irradiance_predicted_2,obs_direct_solar_irradiance_predicted_3,obs_carbon_intensity,obs_non_shiftable_load,obs_solar_generation,obs_electrical_storage_soc,obs_net_electricity_consumption,obs_electricity_pricing,obs_electricity_pricing_predicted_1,obs_electricity_pricing_predicted_2,obs_electricity_pricing_predicted_3,obs_electric_vehicle_charger_charger_5_1_connected_state,obs_connected_electric_vehicle_at_charger_charger_5_1_departure_time,obs_connected_electric_vehicle_at_charger_charger_5_1_required_soc_departure,obs_connected_electric_vehicle_at_charger_charger_5_1_soc,obs_connected_electric_vehicle_at_charger_charger_5_1_battery_capacity,obs_electric_vehicle_charger_charger_5_1_incoming_state,obs_incoming_electric_vehicle_at_charger_charger_5_1_estimated_arrival_time,action_electrical_storage,action_electric_vehicle_storage_charger_5_1,reward_env,reward,next_obs_month,next_obs_day_type,next_obs_hour,next_obs_outdoor_dry_bulb_temperature,next_obs_outdoor_dry_bulb_temperature_predicted_1,next_obs_outdoor_dry_bulb_temperature_predicted_2,next_obs_outdoor_dry_bulb_temperature_predicted_3,next_obs_outdoor_relative_humidity,next_obs_outdoor_relative_humidity_predicted_1,next_obs_outdoor_relative_humidity_predicted_2,next_obs_outdoor_relative_humidity_predicted_3,next_obs_diffuse_solar_irradiance,next_obs_diffuse_solar_irradiance_predicted_1,next_obs_diffuse_solar_irradiance_predicted_2,next_obs_diffuse_solar_irradiance_predicted_3,next_obs_direct_solar_irradiance,next_obs_direct_solar_irradiance_predicted_1,next_obs_direct_solar_irradiance_predicted_2,next_obs_direct_solar_irradiance_predicted_3,next_obs_carbon_intensity,next_obs_non_shiftable_load,next_obs_solar_generation,next_obs_electrical_storage_soc,next_obs_net_electricity_consumption,next_obs_electricity_pricing,next_obs_electricity_pricing_predicted_1,next_obs_electricity_pricing_predicted_2,next_obs_electricity_pricing_predicted_3,next_obs_electric_vehicle_charger_charger_5_1_connected_state,next_obs_connected_electric_vehicle_at_charger_charger_5_1_departure_time,next_obs_connected_electric_vehicle_at_charger_charger_5_1_required_soc_departure,next_obs_connected_electric_vehicle_at_charger_charger_5_1_soc,next_obs_connected_electric_vehicle_at_charger_charger_5_1_battery_capacity,next_obs_electric_vehicle_charger_charger_5_1_incoming_state,next_obs_incoming_electric_vehicle_at_charger_charger_5_1_estimated_arrival_time,terminated,truncated
0,0,32,behaviour,7,7,24,20.0,18.3,22.8,20.0,84.0,81.0,68.0,81.0,0.0,25.0,964.0,0.0,0.0,100.0,815.0,0.0,0.1707244,0.77143335,0.0,0.0,0.77143335,0.16464,0.15015,0.13901,0.15395,1,14.0,0.86,0.86,40.0,0,-1.0,-0.0005407462,-0.025220612,-0.58480084,,8,1,1,20.1,19.4,22.8,19.4,79.0,79.0,71.0,87.0,0.0,201.0,966.0,0.0,0.0,444.0,747.0,0.0,0.15731905,0.5158833,0.0,0.0,0.58480084,0.15748,0.15015,0.14513,0.15643,1,13.0,0.86,0.8479518,40.0,0,-1.0,0,0
0,1,32,behaviour,8,1,1,20.1,19.4,22.8,19.4,79.0,79.0,71.0,87.0,0.0,201.0,966.0,0.0,0.0,444.0,747.0,0.0,0.15731905,0.5158833,0.0,0.0,0.58480084,0.15748,0.15015,0.14513,0.15643,1,13.0,0.86,0.8479518,40.0,0,-1.0,0.0007394261,0.5953538,-78.03713,,8,1,2,19.7,21.1,22.2,19.4,78.0,73.0,73.0,87.0,0.0,420.0,683.0,0.0,0.0,592.0,291.0,0.0,0.15450256,0.50305,0.0,0.00050701265,4.9251986,0.15333,0.148,0.14065,0.15181,1,12.0,0.86,0.9392691,40.0,0,-1.0,0,0
0,2,32,behaviour,8,1,2,19.7,21.1,22.2,19.4,78.0,73.0,73.0,87.0,0.0,420.0,683.0,0.0,0.0,592.0,291.0,0.0,0.15450256,0.50305,0.0,0.00050701265,4.9251986,0.15333,0.148,0.14065,0.15181,1,12.0,0.86,0.9392691,40.0,0,-1.0,-2.0394202e-05,0.00064389786,-0.5077129,,8,1,3,19.3,22.2,22.8,19.4,78.0,71.0,71.0,90.0,0.0,554.0,522.0,0.0,0.0,491.0,153.0,0.0,0.15094487,0.53595,0.0,0.00048885756,0.5077129,0.15015,0.15015,0.14478,0.145,1,11.0,0.86,0.93198127,40.0,0,-1.0,0,0
0,3,32,behaviour,8,1,3,19.3,22.2,22.8,19.4,78.0,71.0,71.0,90.0,0.0,554.0,522.0,0.0,0.0,491.0,153.0,0.0,0.15094487,0.53595,0.0,0.00048885756,0.5077129,0.15015,0.15015,0.14478,0.145,1,11.0,0.86,0.93198127,40.0,0,-1.0,-2.0394202e-05,0.00064389786,-0.5406129,,8,1,4,18.9,21.7,22.2,18.9,78.0,73.0,71.0,90.0,0.0,778.0,444.0,0.0,0.0,734.0,174.0,0.0,0.15181987,0.5126167,0.0,0.0004707025,0.5406129,0.14802,0.14513,0.14201,0.14478,1,10.0,0.86,0.9247508,40.0,0,-1.0,0,0
0,4,32,behaviour,8,1,4,18.9,21.7,22.2,18.9,78.0,73.0,71.0,90.0,0.0,778.0,444.0,0.0,0.0,734.0,174.0,0.0,0.15181987,0.5126167,0.0,0.0004707025,0.5406129,0.14802,0.14513,0.14201,0.14478,1,10.0,0.86,0.9247508,40.0,0,-1.0,-2.0394202e-05,0.00064389786,-0.51727957,,8,1,5,18.3,22.2,21.1,18.3,81.0,71.0,76.0,93.0,0.0,903.0,392.0,0.0,0.0,811.0,396.0,0.0,0.15808822,0.30321667,0.0,0.00045254745,0.51727957,0.14739,0.12499,0.14013,0.14965,1,9.0,0.86,0.9175772,40.0,0,-1.0,0,0
0,5,32,behaviour,8,1,5,18.3,22.2,21.1,18.3,81.0,71.0,76.0,93.0,0.0,903.0,392.0,0.0,0.0,811.0,396.0,0.0,0.15808822,0.30321667,0.0,0.00045254745,0.51727957,0.14739,0.12499,0.14013,0.14965,1,9.0,0.86,0.9175772,40.0,0,-1.0,-2.0394202e-05,0.00064389786,-0.30787954,,8,1,6,18.3,22.8,20.6,18.9,81.0,68.0,78.0,90.0,25.0,964.0,231.0,15.0,100.0,815.0,320.0,14.0,0.16193937,0.49578333,0.29299998,0.0004343924,0.30787954,0.15015,0.13901,0.14739,0.15333,1,8.0,0.86,0.9104601,40.0,0,-1.0,0,0
0,6,32,behaviour,8,1,6,18.3,22.8,20.6,18.9,81.0,68.0,78.0,90.0,25.0,964.0,231.0,15.0,100.0,815.0,320.0,14.0,0.16193937,0.49578333,0.29299998,0.0004343924,0.30787954,0.15015,0.13901,0.14739,0.15333,1,8.0,0.86,0.9104601,40.0,0,-1.0,-2.0394202e-05,0.00064389786,0.05933988,,8,1,7,19.4,22.8,20.6,20.0,79.0,71.0,73.0,87.0,201.0,966.0,27.0,116.0,444.0,747.0,143.0,42.0,0.16434596,0.9805,1.764375,0.00041623734,0.2074462,0.15015,0.14513,0.148,0.15443,1,7.0,0.86,0.90339905,40.0,0,-1.0,0,0
0,7,32,behaviour,8,1,7,19.4,22.8,20.6,20.0,79.0,71.0,73.0,87.0,201.0,966.0,27.0,116.0,444.0,747.0,143.0,42.0,0.16434596,0.9805,1.764375,0.00041623734,0.2074462,0.15015,0.14513,0.148,0.15443,1,7.0,0.86,0.90339905,40.0,0,-1.0,-2.0394202e-05,0.00064389786,4.6054296,,8,1,8,21.1,22.2,20.0,20.0,73.0,73.0,76.0,87.0,420.0,683.0,0.0,252.0,592.0,291.0,0.0,74.0,0.19099815,1.2995833,3.4241667,0.00039808228,-0.7792122,0.148,0.14065,0.15333,0.15262,1,6.0,0.86,0.89639354,40.0,0,-1.0,0,0
0,8,32,behaviour,8,1,8,21.1,22.2,20.0,20.0,73.0,73.0,76.0,87.0,420.0,683.0,0.0,252.0,592.0,291.0,0.0,74.0,0.19099815,1.2995833,3.4241667,0.00039808228,-0.7792122,0.148,0.14065,0.15333,0.15262,1,6.0,0.86,0.89639354,40.0,0,-1.0,-2.0394202e-05,0.00064389786,15.0260105,,8,1,9,22.2,22.8,20.6,20.0,71.0,71.0,70.0,84.0,554.0,522.0,0.0,292.0,491.0,153.0,0.0,35.0,0.20289886,1.6788,4.833208,0.00037992722,-2.1199203,0.15015,0.14478,0.15943,0.15181,1,5.0,0.86,0.88944316,40.0,0,-1.0,0,0
0,9,32,behaviour,8,1,9,22.2,22.8,20.6,20.0,71.0,71.0,70.0,84.0,554.0,522.0,0.0,292.0,491.0,153.0,0.0,35.0,0.20289886,1.6788,4.833208,0.00037992722,-2.1199203,0.15015,0.14478,0.15943,0.15181,1,5.0,0.86,0.88944316,40.0,0,-1.0,-2.0394202e-05,0.00064389786,25.516363,,8,1,10,21.7,22.2,20.6,21.7,73.0,71.0,73.0,76.0,778.0,444.0,0.0,436.0,734.0,174.0,0.0,95.0,0.21287169,2.1846333,5.894708,0.00036177217,-3.1497455,0.14513,0.14201,0.16509,0.147,1,4.0,0.86,0.8825475,40.0,0,-1.0,0,0
