seed,n_steps,district.all_time_peak_average,district.annual_normalized_unserved_energy_total,district.carbon_emissions_total,district.cost_total,district.daily_one_minus_load_factor_average,district.daily_peak_average,district.discomfort_cold_delta_average,district.discomfort_cold_delta_maximum,district.discomfort_cold_delta_minimum,district.discomfort_cold_proportion,district.discomfort_hot_delta_average,district.discomfort_hot_delta_maximum,district.discomfort_hot_delta_minimum,district.discomfort_hot_proportion,district.discomfort_proportion,district.electricity_consumption_total,district.monthly_one_minus_load_factor_average,district.one_minus_thermal_resilience_proportion,district.power_outage_normalized_unserved_energy_total,district.ramping_average,district.zero_net_energy,building.annual_normalized_unserved_energy_total,building.carbon_emissions_total,building.cost_total,building.discomfort_cold_delta_average,building.discomfort_cold_delta_maximum,building.discomfort_cold_delta_minimum,building.discomfort_cold_proportion,building.discomfort_hot_delta_average,building.discomfort_hot_delta_maximum,building.discomfort_hot_delta_minimum,building.discomfort_hot_proportion,building.discomfort_proportion,building.electricity_consumption_total,building.one_minus_thermal_resilience_proportion,building.power_outage_normalized_unserved_energy_total,building.zero_net_energy
22,8759,1.798202123128742,0.0,2.140868068440727,2.1486155743283555,0.8638335106364983,2.11536659703411,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.1437477391112973,0.9200558431842123,,,1.5025721334957987,-5.196332398613011,0.0,2.6078871193968944,2.6497562792371983,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.5803216714977597,,,-0.13641682914239545
23,8759,1.8423863313691355,0.0,2.203496755906585,2.2142072955560574,0.8523733297346663,2.133484532885176,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.211600380265428,0.9135659165845932,,,1.5659548168469852,-5.458967973789286,0.0,2.667017463045402,2.7118350106862255,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.6410682094982043,,,-0.1900260829184228
24,8759,1.8423863313691355,0.0,2.2912389317099127,2.305475833719671,0.8419195650620559,2.175980664360486,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.308244618142401,0.9037298936291966,,,1.6465014794816104,-5.957977135394906,0.0,2.75559076940328,2.8095335640521957,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.73952857643856,,,-0.2671822468380653
25,8759,1.8423863313691355,0.0,2.276276033346343,2.288390939172373,0.8434097731853961,2.165352870208718,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.291111697946058,0.9048172918791965,,,1.6306689256481026,-5.886127635262347,0.0,2.74070816325331,2.7940799252543482,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.721689000151171,,,-0.25122091241419586
26,8759,1.798202123128742,0.0,2.1607301659310574,2.1696056299772737,0.860721314412429,2.1229743804586816,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.1655313183954403,0.9175058137406503,,,1.5289092199192547,-5.266560971717063,0.0,2.628923253419069,2.6695371395249077,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.6001934116260785,,,-0.15314528765465152
27,8759,1.798202123128742,0.0,2.1838643649217224,2.1937996329044838,0.855246577651931,2.125895531000416,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.1904909357802125,0.9144582093356246,,,1.5537668159253661,-5.354061051593431,0.0,2.647344771996872,2.6886901084590678,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.620425716333957,,,-0.1758453754475913
28,8759,1.8423863313691355,0.0,2.2469628952315293,2.2593263548157094,0.8475699836755626,2.156919438043666,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.25879710389612,0.9080827753512988,,,1.608293671387604,-5.7112718461646,0.0,2.7164177650293175,2.76730678512012,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.6953145622344747,,,-0.22658416583566862
29,8759,1.8423863313691355,0.0,2.274671520239642,2.2868666033444613,0.8438233875319753,2.165763170831585,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.2892375457692546,0.9049634203189056,,,1.628714146865923,-5.871758134747053,0.0,2.739295063821298,2.793217904488408,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.7207444126900246,,,-0.2510381121430992
30,8759,1.8423863313691355,0.0,2.2300191757473824,2.2424603768228466,0.8500899508304622,2.15052054415589,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.240722864352347,0.9105568193549753,,,1.5934684937463979,-5.620374738411901,0.0,2.6943021715652313,2.7434792475038057,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.670712400638169,,,-0.21199857366254554
31,8759,1.798202123128742,0.0,2.15802331775768,2.1665874980493136,0.8610563680757238,2.121778544784558,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.1625440784493417,0.9179582107022801,,,1.5273236374136105,-5.260289751381506,0.0,2.62684842265047,2.6654398513695554,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.5978769683418514,,,-0.1505204798003521
