energy_price,energy_price_predicted_1,energy_price_predicted_2,energy_price_predicted_3
79.29,90.42,16.26,119.48
79.29,90.42,16.26,119.48
79.29,90.42,16.26,119.48
75.52,103.48,19.62,105.08
75.52,103.48,19.62,105.08
75.52,103.48,19.62,105.08
75.52,103.48,19.62,105.08
71.54,103.9,25.68,97.02
71.54,103.9,25.68,97.02
71.54,103.9,25.68,97.02
71.54,103.9,25.68,97.02
69.45,76.12999999999998,48.76,96.92
69.45,76.12999999999998,48.76,96.92
69.45,76.12999999999998,48.76,96.92
69.45,76.12999999999998,48.76,96.92
68.71,42.03,82.75,95.58
68.71,42.03,82.75,95.58
68.71,42.03,82.75,95.58
68.71,42.03,82.75,95.58
68.92,13.96,106.69,97.99
68.92,13.96,106.69,97.99
68.92,13.96,106.69,97.99
68.92,13.96,106.69,97.99
90.42,16.26,131.79,113.4
90.42,16.26,131.79,113.4
90.42,16.26,131.79,113.4
90.42,16.26,131.79,113.4
103.48,19.62,133.05,114.37999999999998
103.48,19.62,133.05,114.37999999999998
103.48,19.62,133.05,114.37999999999998
103.48,19.62,133.05,114.37999999999998
103.9,25.68,134.39,116.79
103.9,25.68,134.39,116.79
103.9,25.68,134.39,116.79
103.9,25.68,134.39,116.79
76.12999999999998,48.76,134.55,99.7
76.12999999999998,48.76,134.55,99.7
76.12999999999998,48.76,134.55,99.7
76.12999999999998,48.76,134.55,99.7
42.03,82.75,112.86,92.17
42.03,82.75,112.86,92.17
42.03,82.75,112.86,92.17
42.03,82.75,112.86,92.17
13.96,106.69,97.98,74.89
13.96,106.69,97.98,74.89
13.96,106.69,97.98,74.89
13.96,106.69,97.98,74.89
16.26,131.79,119.48,70.96
16.26,131.79,119.48,70.96
16.26,131.79,119.48,70.96
16.26,131.79,119.48,70.96
19.62,133.05,105.08,67.01
19.62,133.05,105.08,67.01
19.62,133.05,105.08,67.01
19.62,133.05,105.08,67.01
25.68,134.39,97.02,69.07
25.68,134.39,97.02,69.07
25.68,134.39,97.02,69.07
25.68,134.39,97.02,69.07
48.76,134.55,96.92,82.24
48.76,134.55,96.92,82.24
48.76,134.55,96.92,82.24
48.76,134.55,96.92,82.24
82.75,112.86,95.58,89.69
82.75,112.86,95.58,89.69
82.75,112.86,95.58,89.69
82.75,112.86,95.58,89.69
106.69,97.98,97.99,114.82
106.69,97.98,97.99,114.82
106.69,97.98,97.99,114.82
106.69,97.98,97.99,114.82
131.79,119.48,113.4,120.09
131.79,119.48,113.4,120.09
131.79,119.48,113.4,120.09
131.79,119.48,113.4,120.09
