run_group,key,algorithm,job_id,cost_eur,import_kwh,export_kwh,net_exchange_kwh,solar_generation_kwh,solar_export_kwh,solar_self_consumption_ratio,peak_daily_ratio,peak_all_time_ratio,ramping_ratio,load_factor_penalty_ratio,emissions_kgco2,deferrable_service_ratio,deferrable_missed_cycles
full_year,random,RandomPolicy,b3e90171-1908-4b58-89cf-bf1cf93781fb,10938.642502798766,137947.3519959618,72915.65828543599,65031.693710525826,145422.30110790755,81699.5424850629,0.4381911036847128,1.9055634325469333,1.4784647653305838,3.0139502413610724,0.9588218702871937,39038.894116902,0.8876712328767123,41.0
full_year,rbc_basic,RBCBasicPolicy,2e8fb34a-4d71-471f-8af8-7bd5af710fdf,17675.895486544934,164004.77429428915,58438.41474908628,105566.35954520288,145422.30110790755,79057.87094933947,0.4563566224228824,2.0948630256819167,1.6887012042091054,1.697377269614,0.8859125591249002,29560.26350356944,1.0,0.0
full_year,rbc_smart,RBCSmartPolicy,e4ef1302-2f43-4238-aebf-5591df35f75a,17884.270294900056,159157.97769125472,52349.811849715574,106808.16584153917,145422.30110790755,75179.5628396949,0.4830259027196283,1.9897123229542797,1.583912302477764,1.6800225487851588,0.8751133072073187,29250.773460648918,1.0,0.0
full_year,rbc_community,RBCCommunityPolicy,4f721982-520c-4708-a880-4f0452301703,18812.35156824759,160390.85472121474,51758.495304763,108632.35941645176,145422.30110790755,74000.79520956351,0.49113172707497743,1.9374170529498465,1.5025317060318208,1.618192585842649,0.8676754952909221,30272.299485404517,1.0,0.0
full_year,normal_no_battery,NormalNoBatteryPolicy,7bb8df05-1287-47ca-8cd0-f8a4645e6c66,21625.663675946387,181676.01412168966,56635.35137358264,125040.66274810702,145422.30110790755,78971.66637221712,0.45694941029974584,2.36079650592626,1.7025540238482482,1.5913697871560364,0.8730873010473182,32796.24167168039,1.0,0.0
full_year,normal,NormalPolicy,b0806602-4fe7-4cc7-a736-60cdb4c4ea7f,21931.923904025163,175127.8079205361,47884.11708671754,127243.69083381857,145422.30110790755,72048.70578901668,0.5045553175812116,2.26388889155939,1.690855936332188,1.572466455294467,0.8578840255784809,32234.552032512896,1.0,0.0
gate,rbc_smart,RBCSmartPolicy,36550194-3d5d-441d-8d1f-b1b824255524,1271.8988493256961,10856.544434184116,2530.5078461489406,8326.036588035176,9338.13307560212,3946.909591919277,0.5773341887543425,2.0413968873792943,2.2491072712721376,1.7582416665308709,0.9565448333942514,2364.2530086622537,1.0,0.0
gate,rbc_community,RBCCommunityPolicy,428092aa-e133-4e98-add6-f35d59cf3a6e,1311.4741493640354,11050.25722635174,2664.2424976995912,8386.01472865215,9338.13307560212,4129.447681498306,0.5577865888110572,1.9356902345319624,2.087135693849792,1.591461920779534,0.9300085395506617,2433.6882112631056,1.0,0.0
gate,maddpg,MADDPG,021158ef-b590-45fc-a5aa-54c144918829,808.3365212444132,8124.646075178518,3178.4240296523762,4946.222045526141,9338.13307560212,4313.341666038614,0.5380937890778034,1.3378048067806434,1.549162569872421,1.6313250484758257,0.9706310474671267,2085.174931892786,0.8181818181818182,4.0
w2_neural_smoke,maddpg,MADDPG,9da0836c-8cdc-473c-a1c7-3e22db1cd81f,7978.261516865505,75968.44724331683,21404.369340417205,54564.07790289963,56028.316126510676,29275.022955776134,0.4774959345614851,1.9957809006040406,1.6412772594200007,1.7290262631751252,0.9758632368388882,14952.46773993547,0.9649122807017544,6.0
