action,reason,job_id,name,status,user,target,dataset,algorithm,cost,ev_hard,config_path
keep,keep PPO/TPPO,baaa9d13-03cf-45eb-ab24-27d3af174e97,TPPO_53eps new,finished,Tiago Fonseca,server,citylearn_three_phase_dynamic_assets_only_demo_15s_parquet,,,,configs/dyanmic53.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,360390bd-510a-4b5f-8583-3f2832579b8c,mold-repro,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,23063.305884784535,1.0,configs/mold-repro-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,5d36ccfc-77cf-4e1e-b17d-0647757e76d0,mold-ns8,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,23065.34758338172,1.0,configs/mold-ns8-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,cb145f6c-c06c-4fa8-ba97-77f37b943deb,mold-ctx,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22937.80794413526,1.0,configs/mold-ctx-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,f4987967-219b-40bf-9463-e90466d74350,mold-evd,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22936.527628536438,1.0,configs/mold-evd-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,3d75aa42-61f9-45b5-a760-3b66e6bf9a0d,mold-ctx-s456,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22967.229904524214,1.0,configs/mold-ctx-s456-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,f2067fbb-12eb-4a2d-8006-06c8a0a86a3a,mold-evd-s456,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,23113.112237132627,1.0,configs/mold-evd-s456-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,3fa86b8e-5f71-41f6-ad7a-1b8f310b8a4e,mold-headfix,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22998.89258702079,1.0,configs/mold-headfix-ef10014.yaml
keep,keep best hourly learned run,2cfcf0b8-b82d-480e-8e1d-84dc7a47fd07,mctx4-123,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22799.225012912582,0.9992790194664743,configs/mctx4-123-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,94fe8cf3-bee6-4721-b0a1-a7dba59491a9,mctx4-456,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22812.85360273905,0.9996395097332372,configs/mctx4-456-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,d4f3bcba-c53e-4519-98e0-1e27e4e3e1ed,mctxh2-123,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22906.742269885668,1.0,configs/mctxh2-123-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,d24b2307-1f7f-42d1-b0e7-483bcc796089,mctxh2-456,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,23012.017973561877,1.0,configs/mctxh2-456-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,a90fb962-5b27-4717-8d8c-3e001a017179,m4r789,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22863.78359015706,0.9996395097332372,configs/m4r789-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,f5072e9a-a25e-473d-9051-41f537376d27,m4r999,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22851.294125064225,0.9992790194664743,configs/m4r999-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,5571f55d-1dbe-474d-a992-fb0d08bc593d,m6-123,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22938.94487045349,0.998197548666186,configs/m6-123-ef10014.yaml
delete,delete old hourly variant; KPIs archived; best hourly kept,e2be42dd-87f4-4919-8ca7-6e96c61d4429,m6-456,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22895.532170900267,1.0,configs/m6-456-ef10014.yaml
