source_file,job_id,label,algorithm,recipe,seed,steps,status,exit_code,verdict,verdict_reason,cost_eur,cost_delta_vs_rbc_smart,cost_ratio_vs_rbc_smart,cost_ratio_to_bau_status,ev_min_acceptable_feasible_rate,ev_within_tolerance_rate,electrical_violation_kwh,battery_throughput_kwh,battery_ratio_vs_rbc_smart,battery_preferred_gate,v2g_export_kwh,v2g_delta_vs_rbc_smart,community_import_kwh,community_import_delta_vs_rbc_smart,community_export_kwh,community_export_delta_vs_rbc_smart,community_solar_self_consumption_rate,self_consumption_delta_vs_rbc_smart,peak_daily_ratio_to_bau,peak_all_time_ratio_to_bau,runtime_seconds,deucalion_time,deucalion_mem_gb,deucalion_gpus,image_tag,slurm_job_id
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,6436492a-7220-4dd4-91f4-5d7197979372,phase10-w5a-v52-newenc-bc-2022-maddpg-seed123-4096steps-sha-94e7c2f  6436492a-7220-4dd4-91f4-5d7197979372,MADDPG,w5_bc,123,4096,finished,0,FAIL_EV_MIN,ev_min=0.989 < 0.99,8792.247571327085,-9092.02272357297,0.49161902757834713,unavailable_bau_disabled,0.9891808346213292,0.25558121632024633,0.0,34592.58772080269,1.411366288078445,True,1507.3515510107445,1506.3515510107445,89174.49952466588,-69983.47816658884,22397.335668719184,-29952.47618099639,0.4822289804345377,-0.0007969222850905955,,,492.73319816589355,04:00:00,64,1,sha-94e7c2f,1368886
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,1e11a368-89fe-4adc-bd96-d732dce00481,phase10-w5a-v52-newenc-2022-matd3-seed123-4096steps-sha-94e7c2f  1e11a368-89fe-4adc-bd96-d732dce00481,MATD3,w5_plain,123,4096,finished,0,FAIL_EV_MIN,ev_min=0.879 < 0.99,9243.893707829635,-8640.376587070421,0.5168728472229397,unavailable_bau_disabled,0.8794435857805255,0.06543494996150885,0.0,12956.424986043607,0.5286179104872952,True,5790.526758681655,5789.526758681655,83759.03660707614,-75398.94108417859,20836.9906426568,-31512.821207058772,0.4777739718334436,-0.005251930886184697,,,458.6965548992157,04:00:00,64,1,sha-94e7c2f,1368900
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,0a7edf0c-dab2-43c4-b89d-db1e1c807a16,phase10-w5a-v52-newenc-2022-maddpg-seed123-4096steps-sha-94e7c2f  0a7edf0c-dab2-43c4-b89d-db1e1c807a16,MADDPG,w5_plain,123,4096,finished,0,FAIL_EV_MIN,ev_min=0.879 < 0.99,9251.90544275237,-8632.364852147686,0.5173208238409748,unavailable_bau_disabled,0.8786707882534776,0.06466512702078522,0.0,13153.804277086569,0.5366709211377629,True,5786.348183438087,5785.348183438087,83790.94652558191,-75367.03116567282,20813.016009287207,-31536.795840428367,0.4783581947980109,-0.0046677079216174144,,,415.6870746612549,04:00:00,64,1,sha-94e7c2f,1368872
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,ca580ecd-11f5-4548-ae58-1b980c3ef77d,phase10-w5b-v52-newenc-bc-light-2022-maddpg-seed789-8760steps-sha-94e7c2f  ca580ecd-11f5-4548-ae58-1b980c3ef77d,MADDPG,w5_bc_light,789,8760,finished,0,FAIL_EV_MIN,ev_min=0.977 < 0.99,18627.08663022291,742.8163353228556,1.041534618023229,unavailable_bau_disabled,0.976928622927181,0.32831001076426264,0.0,66714.04635326695,2.7219113159227644,False,5469.5181377326535,5468.5181377326535,174934.0752581372,15776.097566882469,56998.58719843584,4648.775348720264,0.47902480255838453,-0.004001100161243776,,,1015.3119902610779,08:00:00,96,1,sha-94e7c2f,1371953
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,17cc6df8-e2ac-4dd9-ad0b-f1b398e496f5,phase10-w5b-v52-newenc-bc-light-2022-matd3-seed456-8760steps-sha-94e7c2f  17cc6df8-e2ac-4dd9-ad0b-f1b398e496f5,MATD3,w5_bc_light,456,8760,finished,0,FAIL_EV_MIN,ev_min=0.979 < 0.99,18943.327367680504,1059.057072780448,1.0592172370086832,unavailable_bau_disabled,0.9794520547945206,0.20129171151776104,0.0,63998.38497347951,2.61111321801222,False,4199.088297302245,4198.088297302245,175133.29313216457,15975.31544090985,56487.015054940384,4137.2032052248105,0.4809501845678561,-0.00207571815177221,,,1023.9077162742615,08:00:00,96,1,sha-94e7c2f,1369150
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,933f8e1e-86c6-4512-b94f-fb18ae46d0b0,phase10-w5b-v52-newenc-bc-light-2022-maddpg-seed456-8760steps-sha-94e7c2f  933f8e1e-86c6-4512-b94f-fb18ae46d0b0,MADDPG,w5_bc_light,456,8760,finished,0,FAIL_EV_MIN,ev_min=0.978 < 0.99,19512.700068703165,1628.4297738031091,1.0910537442652877,unavailable_bau_disabled,0.9783705839942322,0.21923214926444204,0.0,67429.4365597733,2.7510990028467277,False,3561.717297828107,3560.717297828107,179133.86826527238,19975.890574017656,56691.75584490323,4341.943995187656,0.4812526692890177,-0.001773233430610588,,,1074.7469940185547,08:00:00,96,1,sha-94e7c2f,1369246
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,c5cb6e9a-120b-4037-9d76-358d67472ffa,phase10-w5b-v52-newenc-bc-light-2022-matd3-seed789-8760steps-sha-94e7c2f  c5cb6e9a-120b-4037-9d76-358d67472ffa,MATD3,w5_bc_light,789,8760,finished,0,FAIL_EV_MIN,ev_min=0.980 < 0.99,19604.849630484714,1720.579335584658,1.0962062923011908,unavailable_bau_disabled,0.9801730353280461,0.21349120918550413,0.0,68120.02447997789,2.779274764584981,False,4041.6190091813587,4040.6190091813587,181076.28241493567,21918.30472368095,58462.557343591754,6112.74549387618,0.47722772242422024,-0.005798180295408073,,,1027.10706448555,08:00:00,96,1,sha-94e7c2f,1369317
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,2c5c149b-d948-4a1c-9cb1-640e96b563f8,phase10-w5b-v52-newenc-bc-light-2022-matd3-seed2025-8760steps-sha-94e7c2f  2c5c149b-d948-4a1c-9cb1-640e96b563f8,MATD3,w5_bc_light,2025,8760,finished,0,FAIL_EV_MIN,ev_min=0.986 < 0.99,19667.8480240078,1783.577729107743,1.099728851090802,unavailable_bau_disabled,0.9855803893294881,0.22963760315751705,0.0,61904.40077157478,2.5256793460454827,False,4072.7372777251794,4071.7372777251794,180793.53386468787,21635.556173433142,58893.399525965004,6543.58767624943,0.4722883582362787,-0.010737544483349626,,,1034.6708009243011,08:00:00,96,1,sha-94e7c2f,1372001
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,1b66e5b8-33ba-4b26-b221-8dd8776fe0bd,phase10-w5b-v52-newenc-bc-light-2022-matd3-seed123-8760steps-sha-94e7c2f  1b66e5b8-33ba-4b26-b221-8dd8776fe0bd,MATD3,w5_bc_light,123,8760,finished,0,FAIL_EV_MIN,ev_min=0.988 < 0.99,19771.693717923295,1887.4234230232396,1.1055353890262698,unavailable_bau_disabled,0.9881038211968277,0.22317904556871188,0.0,65958.43600381017,2.691082660294173,False,3716.153077075796,3715.153077075796,180717.66556320482,21559.687871950096,58098.86367215721,5749.051822441637,0.4744144059109815,-0.008611496808646812,,,1054.0305814743042,08:00:00,96,1,sha-94e7c2f,1368969
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,031e722a-bfa8-4530-b947-93604f9ca4c3,phase10-w5b-v52-newenc-bc-light-2022-matd3-seed2024-8760steps-sha-94e7c2f  031e722a-bfa8-4530-b947-93604f9ca4c3,MATD3,w5_bc_light,2024,8760,finished,0,FAIL_EV_MIN,ev_min=0.981 < 0.99,19799.83806052617,1915.5677656261141,1.1071090815582432,unavailable_bau_disabled,0.9805335255948089,0.22066738428417654,0.0,71191.28799993033,2.904581313746647,False,5437.204637547651,5436.204637547651,182793.0020312159,23635.02433996118,58885.3490024656,6535.537152750025,0.4731398347738816,-0.009886067945746702,,,1035.581087589264,08:00:00,96,1,sha-94e7c2f,1371963
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,19f020cf-2c44-4a05-a615-b2fe6b2e3b0a,phase10-w5b-v52-newenc-bc-light-2022-maddpg-seed2025-8760steps-sha-94e7c2f  19f020cf-2c44-4a05-a615-b2fe6b2e3b0a,MADDPG,w5_bc_light,2025,8760,finished,0,FAIL_EV_MIN,ev_min=0.988 < 0.99,19842.098769761258,1957.8284748612023,1.1094720915406597,unavailable_bau_disabled,0.9881038211968277,0.21779691424470757,0.0,68493.1860217812,2.7944996336916037,False,3551.8696460905885,3550.8696460905885,183005.08701886117,23847.10932760645,59477.414553647686,7127.6027039321125,0.4693576788734919,-0.013668223846136418,,,1060.8888473510742,08:00:00,96,1,sha-94e7c2f,1372015
runs/remote_results/phase10_wave5_completed_20260528/summary.csv,3a8a3c16-6900-4e73-aef3-b3446752c7d7,phase10-w5b-v52-newenc-plain-2022-maddpg-seed456-8760steps-sha-94e7c2f  3a8a3c16-6900-4e73-aef3-b3446752c7d7,MADDPG,w5_plain,456,8760,finished,0,FAIL_EV_MIN,ev_min=0.938 < 0.99,19997.049247972176,2112.77895307212,1.1181361564231451,unavailable_bau_disabled,0.9383561643835616,0.04951560818083961,0.0,13313.192981700324,0.5431739282619471,True,6077.912760740699,6076.912760740699,172047.13028323627,12889.152591981547,57000.42084512151,4650.608995405935,0.45545584754138047,-0.027570055178247843,,,862.3017449378967,08:00:00,96,1,sha-94e7c2f,1369230
